DB	DB_Object_ID	DB_Object_Symbol	Qualifier 	GO ID	DB:Reference	Evidence												
SGD	S000004937	ADH6		GO:0008270	SGD_REF:S000124036	IEA	InterPro:IPR002328	F	NADPH-dependent medium chain alcohol dehydrogenase	YMR318C|ADHVI|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000004937	ADH6		GO:0006081	PMID:11742541|SGD_REF:S000068777	IDA		P	NADPH-dependent medium chain alcohol dehydrogenase	YMR318C|ADHVI|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20020829	SGD				
SGD	S000000702	ADH7		GO:0008106	PMID:12423374|SGD_REF:S000071752	ISS		F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20021209	SGD				
SGD	S000000702	ADH7		GO:0008106	PMID:12423374|SGD_REF:S000071752	IDA		F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20021209	SGD	has_direct_input(CHEBI:17177)			
SGD	S000000702	ADH7		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000000702	ADH7		GO:0016491	SGD_REF:S000124036	IEA	InterPro:IPR002328	F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000000702	ADH7		GO:0016491	SGD_REF:S000124036	IEA	InterPro:IPR020843	F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000000702	ADH7		GO:0046872	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0479	F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000000702	ADH7		GO:0006066	PMID:12423374|SGD_REF:S000071752	IDA		P	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20021209	SGD				
SGD	S000000702	ADH7		GO:0008270	SGD_REF:S000124036	IEA	InterPro:IPR002328	F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000000702	ADH7		GO:0008106	SGD_REF:S000124037	IEA	EC:1.1.1.2	F	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000000702	ADH7		GO:0055114	SGD_REF:S000124036	IEA	InterPro:IPR002328	P	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000000702	ADH7		GO:0055114	SGD_REF:S000124036	IEA	InterPro:IPR013149	P	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000000702	ADH7		GO:0055114	SGD_REF:S000124036	IEA	InterPro:IPR013154	P	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	InterPro				
SGD	S000000702	ADH7		GO:0005575	SGD_REF:S000069584	ND		C	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20120813	SGD				
SGD	S000000702	ADH7		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	NADPH-dependent medium chain alcohol dehydrogenase	YCR105W|ADHVII|NADP-dependent alcohol dehydrogenase	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0005737	PMID:14562095|SGD_REF:S000074185	IDA		C	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20031028	SGD				
SGD	S000004611	ADI1		GO:0016491	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0019509	PMID:15938715|SGD_REF:S000082083	ISS	UniProtKB:Q9BV57	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20050630	SGD				
SGD	S000004611	ADI1		GO:0019509	PMID:15938715|SGD_REF:S000082083	IGI	EMBL:AB158319	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20050630	SGD				
SGD	S000004611	ADI1		GO:0019509	PMID:15938715|SGD_REF:S000082083	IMP		P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20050630	SGD				
SGD	S000004611	ADI1		GO:0009086	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0486	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0055114	SGD_REF:S000124036	IEA	InterPro:IPR004313	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	InterPro				
SGD	S000004611	ADI1		GO:0019509	SGD_REF:S000124036	IEA	InterPro:IPR027496	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	InterPro				
SGD	S000004611	ADI1		GO:0019509	SGD_REF:S000150560	IEA	UniPathway:UPA00904	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0010309	SGD_REF:S000124036	IEA	InterPro:IPR004313	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	InterPro				
SGD	S000004611	ADI1		GO:0010309	SGD_REF:S000124037	IEA	EC:1.13.11.54	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0055114	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0560	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0051213	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0223	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0005737	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0963	C	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0005737	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0086	C	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0008652	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0028	P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0019509	PMID:18625006|SGD_REF:S000127022	IMP		P	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20080725	SGD				
SGD	S000004611	ADI1		GO:0010309	SGD_REF:S000185201	IBA	PANTHER:PTN000602608	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20150807	GO_Central				
SGD	S000004611	ADI1		GO:0010308	PMID:15938715|SGD_REF:S000082083	IMP		F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20121207	SGD				
SGD	S000004611	ADI1		GO:0005634	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0539	C	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0005634	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0191	C	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0046872	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0479	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	UniProt				
SGD	S000004611	ADI1		GO:0016491	SGD_REF:S000124036	IEA	InterPro:IPR027496	F	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20170902	InterPro				
SGD	S000004611	ADI1		GO:0005634	PMID:14562095|SGD_REF:S000074185	IDA		C	Acireductone dioxygenease involved in methionine salvage pathway	YMR009W|acireductone dioxygenase (Ni2+-requiring)	gene	taxon:559292	20031028	SGD				
SGD	S000002634	ADK1		GO:0005758	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0169	C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0006139	SGD_REF:S000124036	IEA	InterPro:IPR000850	P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0016310	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0418	P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0016740	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0808	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0009117	PMID:2850178|SGD_REF:S000056004	IMP		P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20050314	SGD			
SGD	S000002634	ADK1		GO:0005524	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0067	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0006172	SGD_REF:S000124036	IEA	InterPro:IPR028587	P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0004017	SGD_REF:S000124037	IEA	EC:2.7.4.3	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0004017	SGD_REF:S000124036	IEA	InterPro:IPR006259	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0004017	SGD_REF:S000124036	IEA	InterPro:IPR007862	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0004017	SGD_REF:S000124036	IEA	InterPro:IPR028587	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0004017	PMID:15753074|SGD_REF:S000081003	IDA		F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20131008	SGD			
SGD	S000002634	ADK1		GO:0019205	SGD_REF:S000124036	IEA	InterPro:IPR000850	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0016776	SGD_REF:S000124036	IEA	InterPro:IPR006259	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0005524	SGD_REF:S000124036	IEA	InterPro:IPR000850	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0005524	SGD_REF:S000124036	IEA	InterPro:IPR006259	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	InterPro			
SGD	S000002634	ADK1		GO:0046939	SGD_REF:S000185202	IEA	GO:0004017	P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	GOC			
SGD	S000002634	ADK1		GO:0005737	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0963	C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0006270	PMID:20980819|SGD_REF:S000139088	IMP		P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20110315	SGD			
SGD	S000002634	ADK1		GO:0005758	PMID:2850178|SGD_REF:S000056004	IDA		C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20080902	SGD			
SGD	S000002634	ADK1		GO:0004017	PMID:18433446|SGD_REF:S000126196	IMP		F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20080902	SGD			
SGD	S000002634	ADK1		GO:0004017	PMID:18433446|SGD_REF:S000126196	IDA		F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20080902	SGD			
SGD	S000002634	ADK1		GO:0004017	PMID:2850178|SGD_REF:S000056004	IMP		F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20080902	SGD			
SGD	S000002634	ADK1		GO:0005737	PMID:2850178|SGD_REF:S000056004	IDA		C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20080902	SGD			
SGD	S000002634	ADK1		GO:0005739	PMID:24769239|SGD_REF:S000175707	IDA		C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20150803	SGD			
SGD	S000002634	ADK1		GO:0006172	PMID:2848829|SGD_REF:S000052879	IDA		P	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20050726	SGD			
SGD	S000002634	ADK1		GO:0000166	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0547	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0005739	PMID:16823961|SGD_REF:S000117178	IDA		C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20061212	SGD			
SGD	S000002634	ADK1		GO:0016301	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0418	F	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0005739	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0496	C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000002634	ADK1		GO:0005829	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0091	C	Adenylate kinase	 required for purine metabolism	YDR226W|AKY1|AKY2|adenylate kinase ADK1	gene	taxon:559292	20170902	UniProt			
SGD	S000000972	ADK2		GO:0046939	SGD_REF:S000185202	IEA	GO:0004017	P	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	GOC				
SGD	S000000972	ADK2		GO:0000166	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0547	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0016740	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0808	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0016301	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0418	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0046899	SGD_REF:S000124037	IEA	EC:2.7.4.10	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0005524	SGD_REF:S000124036	IEA	InterPro:IPR000850	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0005524	SGD_REF:S000124036	IEA	InterPro:IPR006259	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0005759	PMID:8537371|SGD_REF:S000043092	IDA		C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20131008	SGD				
SGD	S000000972	ADK2		GO:0005759	SGD_REF:S000148671	IEA	UniProtKB-SubCell:SL-0170	C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0016776	SGD_REF:S000124036	IEA	InterPro:IPR006259	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0019205	SGD_REF:S000124036	IEA	InterPro:IPR000850	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0006139	SGD_REF:S000124036	IEA	InterPro:IPR000850	P	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0005525	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0342	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0005739	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0496	C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0005739	PMID:16823961|SGD_REF:S000117178	IDA		C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20061212	SGD				
SGD	S000000972	ADK2		GO:0005739	SGD_REF:S000124036	IEA	InterPro:IPR028586	C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0004017	SGD_REF:S000124036	IEA	InterPro:IPR006259	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0004017	SGD_REF:S000124036	IEA	InterPro:IPR007862	F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	InterPro				
SGD	S000000972	ADK2		GO:0046899	PMID:15753074|SGD_REF:S000081003	IDA		F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20070820	SGD	has_direct_input(CHEBI:37565)			
SGD	S000000972	ADK2		GO:0016310	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0418	P	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20170902	UniProt				
SGD	S000000972	ADK2		GO:0005743	PMID:15753074|SGD_REF:S000081003	IDA		C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20050314	SGD				
SGD	S000000972	ADK2		GO:0009117	PMID:15753074|SGD_REF:S000081003	IDA		P	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20050314	SGD				
SGD	S000000972	ADK2		GO:0046899	PMID:8537371|SGD_REF:S000043092	IDA		F	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20131008	SGD	has_direct_input(CHEBI:37565)	occurs_in(GO:0005759)		
SGD	S000000972	ADK2		GO:0005743	PMID:8537371|SGD_REF:S000043092	IDA		C	Mitochondrial adenylate kinase	YER170W|AKY3|PAK3|adenylate kinase ADK2	gene	taxon:559292	20020927	SGD				
SGD	S000003866	ADO1		GO:0004001	PMID:11223943|SGD_REF:S000059917	IMP		F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20011004	SGD				
SGD	S000003866	ADO1		GO:0016740	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0808	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0006144	PMID:11223943|SGD_REF:S000059917	IMP		P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20011004	SGD				
SGD	S000003866	ADO1		GO:0005737	PMID:14562095|SGD_REF:S000074185	IDA		C	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20031028	SGD				
SGD	S000003866	ADO1		GO:0005634	PMID:14562095|SGD_REF:S000074185	IDA		C	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20031028	SGD				
SGD	S000003866	ADO1	NOT	GO:0046835	SGD_REF:S000185201	IBA	PANTHER:PTN000062161	P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20161021	GO_Central				
SGD	S000003866	ADO1		GO:0004001	SGD_REF:S000124036	IEA	InterPro:IPR001805	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	InterPro				
SGD	S000003866	ADO1		GO:0006166	SGD_REF:S000124036	IEA	InterPro:IPR001805	P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	InterPro				
SGD	S000003866	ADO1		GO:0016773	SGD_REF:S000124036	IEA	InterPro:IPR002173	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	InterPro				
SGD	S000003866	ADO1		GO:0000166	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0547	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0016301	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0418	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0006166	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0660	P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1	NOT	GO:0019200	SGD_REF:S000185201	IBA	PANTHER:PTN000062161	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20161021	GO_Central				
SGD	S000003866	ADO1		GO:0005829	SGD_REF:S000185201	IBA	PANTHER:PTN000062161	C	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20161021	GO_Central				
SGD	S000003866	ADO1		GO:0005524	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0067	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0004001	SGD_REF:S000124037	IEA	EC:2.7.1.20	F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0044209	SGD_REF:S000150560	IEA	UniPathway:UPA00588	P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0006169	SGD_REF:S000185201	IBA	PANTHER:PTN000062161	P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20161021	GO_Central				
SGD	S000003866	ADO1		GO:0016310	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0418	P	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20170902	UniProt				
SGD	S000003866	ADO1		GO:0004001	PMID:11223943|SGD_REF:S000059917	IDA		F	Adenosine kinase	YJR105W|adenosine kinase	gene	taxon:559292	20011004	SGD				
SGD	S000000604	ADP1		GO:0005737	PMID:11914276|SGD_REF:S000069459	IDA		C	Putative ATP-dependent permease of the ABC transporter family	YCR011C|putative ATP-dependent permease ADP1	gene	taxon:559292	20020507	SGD				
SGD	S000000604	ADP1		GO:0005783	SGD_REF:S000148669	IEA	UniProtKB-KW:KW-0256	C	Putative ATP-dependent permease of the ABC transporter family	YCR011C|putative ATP-dependent permease ADP1	gene	taxon:559292	20170902	UniProt				
SGD	S000000604	ADP1		GO:0016020	SGD_REF:S000124036	IEA	InterPro:IPR013525	C	Putative ATP-dependent permease of the ABC transporter family	YCR011C|putative ATP-dependent permease ADP1	gene	taxon:559292	20170902	InterPro				
SGD	S000000604	ADP1		GO:0016887	SGD_REF:S000124036	IEA	InterPro:IPR003439	F	Putative ATP-dependent permease of the ABC transporter family	YCR011C|putative ATP-dependent permease ADP1	gene	taxon:559292	20170902	InterPro				
SGD	S000000604	ADP1		GO:0016887	SGD_REF:S000124036	IEA	InterPro:IPR017871	F	Putative ATP-dependent permease of the ABC transporter family	YCR011C|putative ATP-dependent permease ADP1	gene	taxon:559292	20170902	InterPro				
SGD	S000000604	ADP1		GO:0005524	SGD_REF:S000124036	IEA	InterPro:IPR003439	F	Putative ATP-dependent permease of the ABC transporter family	YCR011C|putative ATP-dependent permease ADP1	gene	taxon:559292	20170902	InterPro				
